FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5541,2000902,Australia,New South Wales,Cape Howe,Temperate Australasia,Jervis Bay,JBMP37,Murrays Reef Jetty,-35.13,150.75,2010-02-24,4,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys imbricata,Eretmochelys imbricata,0,1,,POINT (150.75 -35.130001068115234)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5542,2001144,Australia,New South Wales,Tweed-Moreton,Temperate Australasia,Solitary Islands,SI20,Unnamed Reef Mooring NW Solitary Is,-30.02,153.27,2008-06-07,15.1,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (153.27000427246094 -30.020000457763672)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5543,2001482,Australia,New South Wales,Cape Howe,Temperate Australasia,Jervis Bay,JBMP-S14,GREEN POINT (GREEN ISLAND),-35.02,150.76,2010-03-29,5.1,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (150.75999450683594 -35.02000045776367)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5544,2001712,Australia,New South Wales,Lord Howe and Norfolk Islands,Central Indo-Pacific,Lord Howe Island,LHI35,Middle Beach,-31.52,159.08,2010-02-18,11.5,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (159.0800018310547 -31.520000457763672)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5545,2002701,Australia,New South Wales,Cape Howe,Temperate Australasia,Jervis Bay,JBMP-S17,Murrays Reef,-35.12,150.75,2011-04-16,4,RLS,5,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (150.75 -35.119998931884766)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5546,2002720,Australia,New South Wales,Cape Howe,Temperate Australasia,Jervis Bay,JBMP-S26,Outer Tubes,-35.09,150.8,2011-04-18,5.3,RLS,15,,-35.09,150.8,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (150.8 -35.09)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5547,2002802,Australia,New South Wales,Cape Howe,Temperate Australasia,Batemans,BMP22,Montague Is NW shallow bay,-36.24,150.22,2011-05-20,12.1,RLS,15,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Cheloniidae spp.,Cheloniid spp.,0,1,,POINT (150.22000122070312 -36.2400016784668)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5548,4000699,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,GBR - Central,GBR206,Whale Bommie Milln Reef,-16.78,146.27,2010-07-04,6.5,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (146.27000427246094 -16.780000686645508)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5549,4000706,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,GBR - Central,GBR209,Traceys Bommie Flynn Reef,-16.73,146.27,2010-07-05,8,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (146.27000427246094 -16.729999542236328)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_554a,6002161,Australia,Western Australia,Bonaparte Coast,Central Indo-Pacific,Kimberley,WA85,Bardi Hole2  Cape Leveque,-16.43,123.07,2010-06-11,4.5,RLS,,,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,0,1,,POINT (123.06999969482422 -16.43000030517578)
