FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5637,912345823,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC12,Carpentaria Reef SW,-15.52,140.12,2015-11-16,21,RLS,7,8:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (140.1199951171875 -15.520000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5638,912346328,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS8,Carola Cay,-19.1,152.39,2016-06-09,4.5,RLS,30,9:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (152.38999938964844 -19.100000381469727)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5639,912347087,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2017-03-01,13,RLS,35,8:00:00,-21.25,155.76,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,100,1,,POINT (155.76 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563a,912347087,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2017-03-01,13,RLS,35,8:00:00,-21.25,155.76,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.76 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563b,912347088,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2017-03-01,14,RLS,35,8:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563c,912347088,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2017-03-01,14,RLS,35,8:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563d,912347090,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS57,Kenn Cave,-21.25,155.76,2017-03-01,10,RLS,40,10:00:00,-21.25,155.76,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (155.76 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563e,912347092,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS54,Kenn Reef bommie,-21.25,155.76,2017-03-01,8,RLS,30,12:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.75999450683594 -21.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_563f,912347098,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS61,Kenn Reef Pipeline,-21.21,155.77,2017-03-02,9,RLS,40,12:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.77000427246094 -21.209999084472656)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5640,912347112,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS71,Quay West Bommie,-21.02,154.37,2017-03-05,5,RLS,25,10:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5641,912347112,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS71,Quay West Bommie,-21.02,154.37,2017-03-05,5,RLS,25,10:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,112.5,1,,POINT (154.3699951171875 -21.020000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5642,912347114,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2017-03-06,6,RLS,25,15:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,100,1,,POINT (153.58999633789062 -21.920000076293945)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5643,912347136,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS50,Saumarez SW,-21.92,153.58,2017-03-06,7,RLS,25,13:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (153.5800018310547 -21.920000076293945)
