"FID","survey_id","country","area","ecoregion","realm","location","site_code","site_name","latitude","longitude","survey_date","depth","program","visibility","hour","survey_latitude","survey_longitude","method","block","phylum","class","order","family","species_name","reporting_name","size_class","total","biomass","geom","year","month"
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5555",912340607,"Australia","Western Australia","Exmouth to Broome","Central Indo-Pacific","Exmouth","NMP-BF2","Bundegi SZ North",-21.85,114.17,"2012-08-01",4.7,"RLS",20,"11:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",175,1,NA,"POINT (114.16999816894531 -21.850000381469727)",2012,8
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5559",912343114,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS32","Bird Reef Hole",-22.17,155.48,"2013-05-19",4,"RLS",35,"11:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (155.47999572753906 -22.170000076293945)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555a",912343119,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS35","Bird NW Bommie",-22.17,155.45,"2013-05-20",8,"RLS",35,"8:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (155.4499969482422 -22.170000076293945)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555b",912343121,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS36","Porpoise North",-22.19,155.36,"2013-05-20",6,"RLS",35,"13:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",75,1,NA,"POINT (155.36000061035156 -22.190000534057617)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555c",912343125,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS38","Porpoise Anchorage",-22.19,155.36,"2013-05-21",9,"RLS",40,"8:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",75,1,NA,"POINT (155.36000061035156 -22.190000534057617)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555d",912343130,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS40","Wreck Reef NE",-22.2,155.3,"2013-05-21",5,"RLS",40,"12:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",40,1,NA,"POINT (155.3000030517578 -22.200000762939453)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555e",912343130,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS40","Wreck Reef NE",-22.2,155.3,"2013-05-21",5,"RLS",40,"12:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",50,1,NA,"POINT (155.3000030517578 -22.200000762939453)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_555f",912343131,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS41","Wreck North",-22.2,155.29,"2013-05-21",9,"RLS",40,"13:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",0,1,NA,"POINT (155.2899932861328 -22.200000762939453)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5560",912343132,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS41","Wreck North",-22.2,155.29,"2013-05-21",7,"RLS",40,"12:00:00",-22.2,155.29,0,0,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (155.29 -22.2)",2013,5
"ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_5561",912343139,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS45","North Wreck Reef",-22.18,155.18,"2013-05-22",10,"RLS",35,"14:00:00",NA,NA,0,NA,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",87.5,1,NA,"POINT (155.17999267578125 -22.18000030517578)",2013,5
